Timestamp,X2,What is your average grade (%)?,How many hours do you sleep per day?,How many hours do you spend on commute per day?,Do you live in a private or shared accommodation (with families/roommates)?,How many meals do you have per day?,How many times do you go out (with friends/families) per week?,How many times do you do exercise per week?,How many cigarettes do you smoke per day?,How many standard alcoholic drinks do you have per week?,How stressed do you feel out of a scale of 5?
4/8/2018 20:43:02,NA,80% - 89%,6 - 7,1 - 1.5,Private,2,0,1,0,1,5
4/9/2018 13:44:21,NA,90% - 100%,7 - 8,0.5 - 1,Shared,3,1,1,0,4,5
4/9/2018 13:45:44,NA,80% - 89%,< 5,1 - 1.5,Shared,4,0,0,0,0,5
4/9/2018 13:47:33,NA,80% - 89%,7 - 8,< 0.5,Shared,3,2,2,0,3,3
4/9/2018 13:54:59,NA,90% - 100%,8 - 9,< 0.5,Shared,3,3,1,0,2,2
4/9/2018 13:58:24,NA,90% - 100%,5 - 6,< 0.5,Shared,3,2,1,0,3,5
4/9/2018 14:01:17,NA,90% - 100%,7 - 8,1 - 1.5,Private,3,2,3,0,3,3
4/9/2018 14:01:53,NA,90% - 100%,6 - 7,< 0.5,Private,2,1,3,0,1,2
4/9/2018 14:03:43,NA,90% - 100%,7 - 8,0.5 - 1,Shared,3,3,4,0,3,2
4/9/2018 14:04:11,NA,80% - 89%,6 - 7,1 - 1.5,Shared,3,1,1,0,0,4
4/9/2018 14:05:35,NA,70% - 79%,< 5,1 - 1.5,Private,4,0,0,0,0,5
4/9/2018 14:05:58,NA,90% - 100%,6 - 7,> 2,Shared,2,1,0,0,0,5
4/9/2018 14:06:24,NA,90% - 100%,6 - 7,> 2,Shared,3,0,3,0,2,4
4/9/2018 14:07:01,NA,80% - 89%,5 - 6,1.5 - 2,Private,3,1,0,0,2,4
4/9/2018 14:08:45,NA,90% - 100%,7 - 8,1 - 1.5,Private,3,2,0,0,1,4
4/9/2018 14:09:02,NA,90% - 100%,6 - 7,1 - 1.5,Shared,3,0,0,0,0,3
4/9/2018 14:09:15,NA,80% - 89%,6 - 7,0.5 - 1,Shared,3,2,0,0,0,4
4/9/2018 14:09:17,NA,80% - 89%,7 - 8,< 0.5,Shared,2,3,5,0,1,5
4/9/2018 14:09:27,NA,80% - 89%,6 - 7,0.5 - 1,Shared,3,3,0,0,0,3
4/9/2018 14:09:32,NA,80% - 89%,7 - 8,< 0.5,Private,3,0,3,0,0,5
4/9/2018 14:10:02,NA,70% - 79%,8 - 9,1.5 - 2,Private,3,1,0,0,0,5
4/9/2018 14:10:07,NA,90% - 100%,5 - 6,1 - 1.5,Shared,3,2,1,0,0,3
4/9/2018 14:10:09,NA,80% - 89%,7 - 8,0.5 - 1,Shared,2,4,0,0,0,3
4/9/2018 14:10:29,NA,90% - 100%,6 - 7,< 0.5,Shared,2,2,3,0,0,4
4/9/2018 14:11:19,NA,70% - 79%,< 5,1 - 1.5,Shared,1,0,0,0,0,5
4/9/2018 14:11:21,NA,80% - 89%,6 - 7,1.5 - 2,Shared,3,1,3,0,> 5,3
4/9/2018 14:11:23,NA,80% - 89%,6 - 7,1.5 - 2,Shared,3,1,0,0,0,4
4/9/2018 14:12:20,NA,90% - 100%,6 - 7,< 0.5,Private,3,1,3,0,0,4
4/9/2018 14:12:40,NA,90% - 100%,6 - 7,1 - 1.5,Private,2,3,0,0,1,4
4/9/2018 14:12:44,NA,90% - 100%,6 - 7,1.5 - 2,Shared,3,2,0,0,0,5
4/9/2018 14:12:49,NA,70% - 79%,7 - 8,1.5 - 2,Shared,2,4,0,0,0,3
4/9/2018 14:13:37,NA,80% - 89%,6 - 7,0.5 - 1,Shared,3,2,4,0,0,3
4/9/2018 14:13:37,NA,90% - 100%,6 - 7,< 0.5,Private,3,1,0,0,1,3
4/9/2018 14:14:16,NA,90% - 100%,7 - 8,0.5 - 1,Shared,2,2,0,0,2,4
4/9/2018 14:15:03,NA,70% - 79%,6 - 7,> 2,Private,2,0,0,0,1,5
4/9/2018 14:15:13,NA,90% - 100%,6 - 7,1 - 1.5,Shared,2,> 5,2,0,1,3
4/9/2018 14:16:26,NA,90% - 100%,7 - 8,1 - 1.5,Shared,2,0,0,0,1,3
4/9/2018 14:16:35,NA,90% - 100%,6 - 7,0.5 - 1,Private,2,1,2,0,1,4
4/9/2018 14:17:14,NA,90% - 100%,5 - 6,< 0.5,Shared,3,2,3,0,0,3
4/9/2018 14:17:30,NA,80% - 89%,8 - 9,< 0.5,Shared,2,2,2,0,0,3
4/9/2018 14:17:38,NA,90% - 100%,6 - 7,1 - 1.5,Shared,3,2,1,0,0,3
4/9/2018 14:17:46,NA,80% - 89%,5 - 6,< 0.5,Shared,2,1,1,0,1,4
4/9/2018 14:18:14,NA,90% - 100%,5 - 6,> 2,Shared,3,2,2,0,> 5,2
4/9/2018 14:18:23,NA,90% - 100%,< 5,< 0.5,Shared,2,2,2,0,1,4
4/9/2018 14:18:24,NA,80% - 89%,8 - 9,> 2,Private,3,2,5,5,> 5,1
4/9/2018 14:25:11,NA,80% - 89%,< 5,0.5 - 1,Shared,2,1,0,0,0,4
